id_trabajador,nombre,apellido,telefono,correo,direccion,funcion,nacimiento,sueldo,cbu
1,Aubrey,Witz,1583218639,,2175 Rowland Trail,Profesor,1971-10-22,503989,35007176
2,Shane,Govan,,,573 Blackbird Avenue,Administrativo,1961-09-16,374481,39397546
3,Peder,Borgne,1503823090,pborgne2@blog.com,42122 Lien Court,Maestranza,1986-10-26,502231,36003358
4,Garwin,Nerheny,1516545121,gnerheny3@cbslocal.com,48 Corry Circle,Administrativo,1992-11-26,542827,39625003
5,Jacky,Judkins,1523667041,jjudkins4@ox.ac.uk,,Profesor,1960-10-06,348778,37872558
6,Rafe,Snel,1598667865,rsnel5@nytimes.com,9003 Rusk Circle,Profesor,1981-09-14,754448,34662729
7,Maggie,Wiggall,1564321640,,2 Dexter Street,Profesor,1969-03-28,169690,38845836
8,Desdemona,Snartt,1538233891,dsnartt7@imgur.com,9434 Alpine Place,Profesor,1991-09-23,607337,35542621
9,Ardisj,Jacklin,1536239439,ajacklin8@cdProfesor.com,2 Moulton Circle,Profesor,1962-11-24,555866,30704658
10,Aurlie,Calton,1556481016,,856 Laurel Circle,Profesor,1980-11-18,105945,37909208
11,Aleta,Fuster,1584592121,afustera@pagesperso-orange.fr,849 Surrey Lane,Profesor,1958-05-01,805227,39769342
12,Sal,Dumbelton,,sdumbeltonb@eepurl.com,2098 Kensington Circle,Profesor,1988-06-03,157268,39917847
13,Drud,Dunsmore,1535835758,ddunsmorec@tmall.com,57572 Morrow Circle,Profesor,1967-11-26,825060,34637437
14,Laurena,Ulyatt,1591489349,lulyattd@shareasale.com,5893 Waywood Circle,Profesor,1993-09-10,327628,37253823
15,Martita,Persitt,1580444002,mpersitte@ca.gov,6954 Fallview Circle,Profesor,1950-11-26,158508,35749239
16,Siobhan,Cure,1519407148,,,Profesor,1996-10-18,756760,37419835
17,Lucias,Malamore,1582076744,lmalamoreg@nhs.uk,59372 Mcguire Place,Profesor,1992-04-17,193546,39679550
18,Willis,Nadin,1583634361,wnadinh@eventbrite.com,97 8th Park,Profesor,1963-11-05,404103,35024817
19,Christoffer,Barker,1569652358,cbarkeri@nymag.com,,Maestranza,1951-01-13,504048,36979818
20,Lane,Heake,1532580796,lheakej@cpanel.net,61 Express Alley,Profesor,1994-03-20,710815,31617390
21,Tanner,Walkley,1575675132,twalkleyk@behance.net,,Profesor,1985-12-20,493584,34707465
22,Lovell,Petrolli,1545237129,lpetrollil@shop-pro.jp,,Profesor,1984-10-01,508654,36123385
23,Buddy,Cranshaw,1502662327,bcranshawm@slideshare.net,5625 Graceland Junction,Administrativo,1991-04-13,695012,36105999
24,Kimberli,Celli,1542524994,kcellin@dion.ne.jp,70 Bluestem Drive,Profesor,1985-11-23,689553,37207264
25,Jennilee,Lombard,1565890195,,39390 Carberry Street,Profesor,1958-12-15,486042,34038124
26,Kermy,Sterling,,ksterlingp@spotify.com,05396 Comanche Park,Profesor,1990-06-10,181791,33391474
27,Bili,Fishly,1596422587,bfishlyq@cbslocal.com,0 Stuart Park,Profesor,1956-03-07,95182,31646886
28,Farica,Poge,1539170279,fpoger@aboutads.info,2 4th Court,Profesor,1950-04-27,335784,32671693
29,Elisabet,Celez,1593347008,ecelezs@ovh.net,3686 South Lane,Administrativo,1956-06-25,444232,31414791
30,Fayette,Wollard,1583416600,fwollardt@google.co.jp,476 Pennsylvania Park,Maestranza,1965-06-19,198493,37267958
31,Kakalina,Renny,,krennyu@shareasale.com,88 Larry Drive,Profesor,1950-12-03,381629,35552088
32,Drona,Le Grys,1524223452,dlegrysv@hatena.ne.jp,,Administrativo,1951-11-09,777014,34707160
33,Drusie,Beves,1523015924,dbevesw@t.co,,Profesor,1976-05-08,362289,37018604
34,Sheila,Sherwen,1593874942,ssherwenx@google.it,97103 Carioca Park,Profesor,1987-11-24,424763,32449488
35,Drusi,Souch,1534155019,dsouchy@edublogs.org,8 Springview Crossing,Maestranza,1976-07-17,428752,30913602
36,Romeo,MacCostye,1588685702,rmaccostyez@cafepress.com,5 Monica Junction,Profesor,1988-04-25,188890,39636213
37,Basia,Trusslove,1503090366,btrusslove10@squarespace.com,181 Bluestem Center,Profesor,1988-09-24,124129,34482838
38,Earl,Ranyard,1579418519,eranyard11@nyu.edu,00743 Warbler Court,Contador,1965-01-27,323076,30877838
39,Bridie,Wise,1517958657,bwise12@networkadvertising.org,9716 Cardinal Road,Profesor,1975-01-08,798880,39155726
40,Sasha,Beddo,1554249578,,3513 3rd Plaza,Abogado,1993-05-06,786126,34037590
